Date,yuzawa-grand,yuzawa-toei-hotel,otowaya-ryokan
2026-02-01,×,×,×
2026-02-02,"¥57,000",×,×
2026-02-03,×,"¥62,400",×
2026-02-04,"¥54,750",×,"¥32,075"
2026-02-05,×,"¥62,400",×
2026-02-06,×,"¥67,200",×
2026-02-07,×,"¥170,400",×
2026-02-08,"¥58,650",×,×
2026-02-09,×,"¥62,400",×
2026-02-10,"¥57,000",×,×
2026-02-11,×,"¥117,600",×
2026-02-12,"¥54,750","¥62,400","¥32,075"
2026-02-13,×,×,×
2026-02-14,×,×,×
2026-02-15,×,"¥68,800",×
2026-02-16,×,"¥68,800",×
2026-02-17,×,"¥68,800",×
2026-02-18,×,×,×
2026-02-19,×,"¥117,600",×
2026-02-20,×,"¥112,800",×
2026-02-21,×,×,×
2026-02-22,×,×,×
2026-02-23,×,"¥67,200",×
2026-02-24,×,"¥78,000",×
2026-02-25,"¥55,350",×,×
2026-02-26,×,"¥62,400",×
2026-02-27,×,"¥62,400",×
2026-02-28,×,"¥144,000",×
2026-03-01,×,"¥48,000","¥38,718"
2026-03-02,"¥55,350",×,×
2026-03-03,"¥53,700","¥57,600",×
2026-03-04,"¥47,774","¥48,000","¥35,500"
2026-03-05,"¥49,200","¥48,000","¥32,950"
2026-03-06,"¥53,100","¥48,000",×
2026-03-07,×,"¥96,000",×
2026-03-08,"¥51,450","¥44,800","¥32,950"
2026-03-09,"¥48,150","¥44,800",×
2026-03-10,"¥45,900","¥44,800","¥18,124"
2026-03-11,×,"¥44,800",×
2026-03-12,"¥45,900","¥44,800","¥18,124"
2026-03-13,×,"¥44,800","¥20,330"
2026-03-14,×,"¥100,800",×
2026-03-15,"¥44,474","¥44,800","¥29,104"
2026-03-16,"¥48,750","¥44,800","¥17,216"
2026-03-17,"¥39,974","¥33,856","¥27,181"
2026-03-18,"¥37,874","¥36,800","¥17,374"
2026-03-19,"¥36,687","¥43,700","¥31,100"
2026-03-20,×,"¥96,000",×
2026-03-21,"¥59,250","¥96,000","¥34,842"
2026-03-22,"¥31,724","¥32,000","¥31,100"
2026-03-23,"¥31,050","¥32,000","¥27,181"
2026-03-24,"¥31,050","¥32,000","¥27,181"
2026-03-25,"¥31,274","¥32,000","¥17,698"
2026-03-26,"¥37,200","¥32,000","¥18,117"
2026-03-27,"¥44,850","¥32,000","¥27,181"
2026-03-28,×,"¥57,600","¥28,462"
2026-03-29,"¥31,724","¥30,400","¥16,393"
2026-03-30,"¥32,700","¥27,200","¥28,900"
2026-03-31,"¥26,774","¥27,200","¥16,398"
